测试用例编号,测试标题,测试步骤,测试类别,预期结果,实际结果,执行人,执行日期,备注
TC-158,前端轮询,"1. 上传图片后
2. 抓包观察网络请求",权限测试,每 3 秒发起一次 `GET /ocr/tasks/{taskId}` 直到 SUCCESS 或 FAILED,通过,XU Feiran,6/4/2026,
TC-159,识别成功自动写入,"1. 等待 OCR 识别完成（约 30s）
2. 观察客诉信息字段",功能测试,识别到的字段自动填入对应表单控件，无需手动点击；识别区域显示绿色成功态及字段预览,通过,XU Feiran,6/4/2026,
TC-160,识别成功后端写入,"1. 编辑已有退件信息
2. 上传图片等待识别完成
3. 查询数据库 APMS_PART",权限测试,识别到的字段已写入 APMS_PART 对应列（null 字段不覆盖原有值）,通过,XU Feiran,6/4/2026,
TC-161,识别失败降级,"1. 多次上传图片触发随机失败（约 30% 概率）
2. 观察 OCR 区域",功能测试,"显示红色失败态，提示""OCR 识别失败，请手动填写""；客诉信息字段保持原值可手动编辑",通过,XU Feiran,6/4/2026,
TC-162,停止识别,"1. 上传图片开始识别
2. 识别中点击""停止识别""按钮",权限测试,停止轮询，OCR 区域恢复空闲状态,通过,XU Feiran,6/4/2026,
TC-163,图片大图预览,"1. 识别成功（或失败）后
2. 点击图片缩略图",权限测试,弹出全屏大图预览，可关闭,通过,XU Feiran,6/4/2026,
TC-164,新建模式任务绑定,"1. 新建退件信息，先上传 OCR 图片
2. 等待识别完成（表单已自动填充）
3. 点击""暂存""或""提交""",权限测试,后端创建 Part 时将 ocrTaskId 绑定至该 Part，APMS_OCR_TASK.PART_ID 更新为新 Part ID,通过,XU Feiran,6/4/2026,
TC-165,重新拍照/上传,"1. 识别完成后
2. 点击""拍照""或""上传图片""重新选图",功能测试,清除旧结果，重新进入上传流程,通过,XU Feiran,6/4/2026,
TC-166,上传单张照片,"1. 点击上传区域
2. 选择图片
3. 上传",功能测试,显示缩略图,通过,XU Feiran,6/5/2026,
TC-167,上传多张照片,1. 依次上传多张照片,功能测试,全部显示缩略图,通过,XU Feiran,6/5/2026,
TC-168,数量限制,1. 上传超过20张照片,功能测试,提示超过数量限制,通过,XU Feiran,6/5/2026,
TC-169,预览大图,1. 点击缩略图,功能测试,弹窗显示大图,通过,XU Feiran,6/5/2026,
TC-170,删除照片,1. 点击缩略图删除按钮,功能测试,照片被删除,通过,XU Feiran,6/5/2026,
TC-171,文件类型限制,1. 上传非图片文件,功能测试,提示文件类型不支持,通过,XU Feiran,6/5/2026,
TC-172,未创建时通过通用端点上传,"1. 新建退件信息前通过 POST /files/upload 上传图片
2. 创建退件信息",功能测试,图片自动移至 parts/{partId}/ 目录并关联,通过,XU Feiran,6/5/2026,
TC-173,已创建后直接关联上传,"1. 进入已有退件信息详情
2. 上传图片",功能测试,图片直接关联到该退件信息,通过,XU Feiran,6/5/2026,
TC-174,录入 QC 号（QMC Leader）,"1. QMC Leader 登录
2. 进入已完成退件信息详情
3. 输入 QC 号
4. 点击保存",功能测试,QC 号保存成功,通过,XU Feiran,6/5/2026,
TC-175,QC 号为空时任何人可编辑,"1. 普通用户登录
2. 进入 QC 号为空的退件信息详情
3. 输入 QC 号",功能测试,QC 号输入框可编辑，保存成功,通过,XU Feiran,6/5/2026,
TC-176,QC 号已有值时仅 QMC Leader 可编辑,"1. 普通用户登录
2. 进入 QC 号已填写的退件信息详情",功能测试,QC 号输入框只读,通过,XU Feiran,6/5/2026,
TC-177,保存后详情页更新,"1. 输入 QC 号并保存
2. 刷新详情页",功能测试,QC 号正确显示,通过,XU Feiran,6/5/2026,
TC-178,状态校验,"1. 在非""精分析完成""等状态输入 QC 号",功能测试,提示当前状态不可录入 QC 号,通过,XU Feiran,6/5/2026,
TC-179,analysis_skipped 状态可录入 QC 号,"1. 进入 analysis_skipped（0km 精分析已跳过）状态的退件信息详情
2. 输入 QC 号
3. 点击保存",功能测试,QC 号保存成功,通过,,,
TC-180,新建时可选填生产日期,"1. 打开新建退件信息表单
2. 找到「零件生产日期」字段（位于「生产班次」前）
3. 选择一个日期
4. 保存",功能测试,保存成功，详情页显示所选日期,通过,,,
TC-181,新建时不填生产日期,"1. 打开新建退件信息表单
2. 不填「零件生产日期」
3. 保存",功能测试,保存成功，详情页该字段显示 `-`,通过,XU Feiran,6/5/2026,
TC-182,编辑时修改生产日期,"1. 打开已有退件信息编辑表单
2. 修改「零件生产日期」
3. 保存",功能测试,保存成功，详情页更新为新日期,通过,XU Feiran,6/5/2026,
TC-183,导入不影响生产日期,"1. 使用标准 Excel 模板导入退件信息
2. 查看导入后的退件信息详情",导入测试,「零件生产日期」字段为空（显示 `-`），导入无报错,通过,XU Feiran,6/5/2026,
TC-184,0km 退货单新建退件信息,"1. 创建 complaintType=BA20 的退货单
2. 在该退货单下新建退件信息并暂存",功能测试,退件信息初始状态为 `in_initial_analysis`（信息录入/进行中）,通过,,,
TC-185,0km 退件提交后状态,"1. 暂存的 0km 退件信息
2. 点击提交",状态测试,状态变为 `analysis_skipped`（精分析/已跳过）,通过,,,
TC-186,非 0km 退货单新建退件信息,"1. 创建 complaintType=BA40 的退货单
2. 在该退货单下新建退件信息并暂存",功能测试,退件信息初始状态为 `in_initial_analysis`（信息录入/进行中）,通过,,,
TC-187,0km 件可触发报废流程,"1. 找到 analysis_skipped 状态的退件信息
2. 进入其分析单
3. 执行报废操作",权限测试,报废流程正常完成，无权限或状态错误,通过,,,
TC-188,0公里退货通知（创建时触发）,"1. 在 complaintType 为 BA20（或 BA35、BA42 等非 BA40/BA41）的退货单下新建退件信息
2. 检查通知日志：应有 0km 通知记录
3. 在 complaintType 为 BA40（或 BA41）的退货单下新建退件信息
4. 检查通知日志：无 0km 通知记录",通知测试,0km 类型：发送 0km 通知邮件给 RESPONSIBLE_ENGINEER 非 0km 类型（BA40/BA41）：不发送,通过,,,
TC-189,ComplaintTypeConstants 单元测试通过,运行 `ComplaintTypeConstantsTest`,功能测试,7条用例全部通过（BA40/BA41非0km，BA20/BA35/BA42是0km，null/空非0km）,通过,,,
TC-190,同一退货单内编号不可重复,"1. 在同一退货单下新建两条退件信息
2. 使用相同的零件编号
3. 提交",接口测试,后端返回错误，提示零件编号重复,通过,XU Feiran,6/5/2026,
TC-191,不同退货单间编号可重复,1. 在不同退货单下创建相同零件编号的退件信息,功能测试,创建成功，无报错,通过,XU Feiran,6/5/2026,
TC-192,编号格式带分隔符,1. 提交退件信息,功能测试,生成的编号格式为 BU-Category-NNNN（含横杠分隔符）,通过,XU Feiran,6/5/2026,
TC-193,新建时分别填写,"1. 新建退件信息
2. 分别填写「修复站点」和「投诉地点」",功能测试,两个字段独立保存,通过,,,
TC-194,编辑时分别修改,"1. 编辑退件信息
2. 只修改「修复站点」",功能测试,修复站点更新，投诉地点不变,通过,XU Feiran,6/5/2026,
TC-195,详情页分别展示,1. 查看退件信息详情,功能测试,「修复站点」和「投诉地点」分别显示，为空时显示 `-`,通过,XU Feiran,6/5/2026,
TC-196,OCR 识别字段映射,"1. OCR 识别图片
2. 查看识别结果字段映射",功能测试,repairStation 和 complaintLocation 分别映射到对应字段,通过,XU Feiran,6/5/2026,
TC-197,移动端调起相机,"1. 移动端浏览器中打开新建/编辑退件信息
2. 点击拍照按钮",功能测试,直接调起后置相机,通过,XU Feiran,6/5/2026,
TC-198,PC 端文件选择器,1. PC 端浏览器中点击拍照按钮,功能测试,弹出文件选择器，仅支持 jpg/png,通过,XU Feiran,6/5/2026,
TC-199,拍照后预览,1. 拍照完成,功能测试,显示图片缩略图预览,通过,XU Feiran,6/5/2026,
TC-200,与上传图片共存,"1. 先上传图片
2. 再拍照",功能测试,两种方式添加的图片共存显示,通过,XU Feiran,6/5/2026,
TC-201,导出全部数据,"1. 不设置筛选条件
2. 点击导出",功能测试,导出所有售后件数据,通过,XU Feiran,6/5/2026,
TC-202,导出筛选数据,"1. 设置筛选条件
2. 查询数据
3. 点击导出",功能测试,仅导出筛选后的数据,通过,XU Feiran,6/5/2026,
TC-203,文件格式验证,1. 打开导出的 Excel 文件,功能测试,文件格式正确，数据完整,通过,XU Feiran,6/5/2026,
TC-204,文件名,1. 执行导出,功能测试,文件名包含日期，格式为 售后件明细_YYYYMMDD.xlsx,通过,XU Feiran,6/5/2026,
TC-205,按生产日期范围过滤导出,"1. 设置生产日期范围筛选
2. 点击导出",功能测试,仅导出生产日期在范围内的退件信息,通过,XU Feiran,6/5/2026,
TC-206,按行驶里程范围过滤导出,"1. 在公里数范围输入框设下限 50,000、上限 200,000
2. 点击导出",功能测试,"仅导出行驶里程在 50,000–200,000 km 范围内的退件信息",通过,,,
TC-207,业务单元必填-前端校验,"1. 新建退件信息
2. 选择一个数据字典中未配置业务单元的零件码
3. 不填写其他信息
4. 点击暂存/提交",接口测试,"表单验证失败，业务单元字段提示""请选择业务单元""",通过,,,
TC-208,产品平台必填-前端校验,"1. 新建退件信息
2. 选择一个数据字典中未配置产品平台的零件码
3. 不填写其他信息
4. 点击暂存/提交",接口测试,"表单验证失败，产品平台字段提示""请选择产品平台""",通过,,,
TC-209,业务单元必填-后端校验,"1. 直接调用 POST /api/v1/parts 接口
2. 传入 businessUnit 为空或 null
3. 其他必填字段正常填写",接口测试,"后端返回 400，提示""业务单元不能为空""",通过,,,
TC-210,产品平台必填-后端校验,"1. 直接调用 POST /api/v1/parts 接口
2. 传入 productPlatform 为空或 null
3. 其他必填字段正常填写",接口测试,"后端返回 400，提示""产品平台不能为空""",通过,,,
TC-211,正常自动填充后提交,"1. 新建退件信息
2. 选择一个数据字典中已配置业务单元和产品平台的零件码
3. 业务单元和产品平台自动填充
4. 填写其他必填项
5. 点击提交",功能测试,提交成功，无验证错误,通过,,,
TC-212,编辑已有退件信息保持必填,"1. 编辑一条已有退件信息（业务单元和产品平台已填）
2. 不修改业务单元和产品平台
3. 点击保存",功能测试,保存成功，无验证错误,通过,,,
TC-213,选择模板,"1. 进入精分析表单
2. 选择报告模板",功能测试,自动加载模板对应的表单字段,通过,XU Feiran,6/4/2026,
TC-214,动态表单渲染,"1. 选择不同模板
2. 查看表单字段",功能测试,表单字段根据模板动态变化,通过,XU Feiran,6/4/2026,
TC-215,填写必填字段,"1. 不填写必填字段
2. 提交",功能测试,表单验证失败,通过,XU Feiran,6/4/2026,
TC-216,保存草稿,"1. 填写部分字段
2. 点击暂存",功能测试,草稿保存成功,通过,XU Feiran,6/5/2026,
TC-217,新建草稿,"1. 填写报告内容
2. 点击暂存",功能测试,"草稿创建成功，报告状态为""草稿""",通过,XU Feiran,6/5/2026,
TC-218,编辑草稿,"1. 打开草稿报告
2. 修改内容
3. 暂存",功能测试,修改被保存,通过,XU Feiran,6/5/2026,
TC-219,多次暂存,"1. 暂存后继续编辑
2. 再次暂存",功能测试,每次暂存都成功,通过,XU Feiran,6/5/2026,
TC-220,提交审批,"1. 填写完整报告
2. 点击提交（submittedBy 可选，默认当前用户）
3. 确认",状态测试,报告状态变为“已提交”，Part 状态变为 analysis_report_submitted,通过,XU Feiran,6/5/2026,
TC-221,提交后查看报告（只读+撤回）,"1. 提交精分析报告后
2. 查看精分析报告弹窗",功能测试,报告为只读模式，不显示暂存和提交审批按钮，显示「撤回」按钮,通过,XU Feiran,6/5/2026,
TC-222,重新提交,"1. 审批被驳回后
2. 修改报告
3. 重新提交",功能测试,可以重新提交,通过,XU Feiran,6/5/2026,
TC-223,撤回已提交报告,"1. 提交精分析报告后
2. 点击「撤回」按钮
3. 确认",状态测试,报告状态变为“已撤回”，Part 状态回退为 in_detailed_analysis,通过,XU Feiran,6/5/2026,
TC-224,撤回后分析单状态回退,"1. 分析单状态为 pending_approval
2. 撤回其中一份报告",状态测试,分析单状态回退为 in_detailed_analysis,通过,XU Feiran,6/5/2026,
TC-225,撤回后分析单状态不变,"1. 分析单状态为 in_detailed_analysis（非 pending_approval）
2. 撤回一份报告",功能测试,分析单状态保持不变,通过,XU Feiran,6/5/2026,
TC-226,非提交者不可撤回,"1. 其他用户查看已提交报告
2. 查看撤回按钮",权限测试,撤回按钮不可见或禁用,通过,XU Feiran,6/5/2026,
TC-227,导出 Word,"1. 进入退件信息详情
2. 点击导出报告
3. 下载 Word 文件",功能测试,成功下载 .docx 文件,通过,XU Feiran,6/5/2026,
TC-228,文件内容验证,1. 打开导出的 Word 文件,功能测试,内容完整，格式正确,通过,XU Feiran,6/5/2026,
TC-229,上传 Excel 模板,"1. 选择 .xlsx 文件
2. 填写模板信息
3. 上传",功能测试,模板上传成功,通过,XU Feiran,6/4/2026,
TC-230,文件大小限制,1. 上传超大文件,功能测试,提示文件过大,待测试,,,
TC-231,文件类型限制,1. 上传非 Office 文件,功能测试,提示文件类型不支持,待测试,,,
TC-232,下载模板,"1. 进入设置-模板管理
2. 点击模板的下载按钮",功能测试,下载原上传的模板文件,通过,XU Feiran,6/4/2026,
TC-233,文件完整性,1. 打开下载的文件,功能测试,文件内容与上传时一致,通过,XU Feiran,6/4/2026,
TC-234,删除模板,"1. 进入设置-模板管理
2. 点击模板的删除按钮
3. 确认删除",功能测试,模板删除成功,通过,XU Feiran,6/4/2026,
TC-235,删除后列表更新,"1. 删除模板
2. 查看模板列表",功能测试,列表中不再显示已删除的模板,通过,XU Feiran,6/4/2026,
TC-236,精确匹配（产品平台+失效类型）,"1. 上传模板：产品平台=WSA，失效类型=噪音
2. 创建退件信息：产品平台=WSA，失效类型=噪音
3. 打开精分析报告弹窗",功能测试,自动匹配到该模板,通过,XU Feiran,6/5/2026,
TC-237,仅产品平台匹配,"1. 上传模板：产品平台=WSA，失效类型=空
2. 创建退件信息：产品平台=WSA，失效类型=噪音
3. 打开精分析报告弹窗",功能测试,自动匹配到该模板,通过,XU Feiran,6/5/2026,
TC-238,默认模板匹配,"1. 上传模板：产品平台=空，失效类型=空
2. 创建退件信息：产品平台=WSA，失效类型=噪音
3. 打开精分析报告弹窗（无精确匹配）",功能测试,自动匹配到默认模板,通过,XU Feiran,6/5/2026,
TC-239,多个匹配模板显示,"1. 上传多个相同条件的模板
2. 打开精分析报告弹窗",功能测试,显示模板选择下拉框,通过,XU Feiran,6/5/2026,
TC-240,切换产品平台,"1. 打开精分析报告弹窗
2. 修改匹配条件中的产品平台",功能测试,模板列表自动更新,通过,XU Feiran,6/9/2026,
TC-241,切换失效类型,"1. 打开精分析报告弹窗
2. 修改匹配条件中的失效类型",功能测试,模板列表自动更新,通过,XU Feiran,6/9/2026,
TC-242,无匹配模板,"1. 创建退件信息：产品平台=ABC
2. 打开精分析报告弹窗（无匹配模板）",功能测试,"显示""未找到匹配的模板""提示",通过,XU Feiran,6/9/2026,
TC-243,上传附件,"1. 打开精分析报告弹窗
2. 点击上传附件
3. 选择文件",功能测试,附件上传成功，列表显示文件名,跳过,,,功能不需要，不实现
TC-244,删除附件,"1. 点击附件删除按钮
2. 确认",功能测试,附件被删除,跳过,,,功能不需要，不实现
TC-245,附件类型限制,1. 上传不支持类型的文件,功能测试,提示文件类型不支持,跳过,,,功能不需要，不实现
TC-246,附件大小限制,1. 上传超大文件,功能测试,提示文件过大,跳过,,,功能不需要，不实现
TC-247,photo 类型字段上传,"1. 打开含 photo 类型字段的模板
2. 上传一张图片",功能测试,图片上传成功，显示预览,通过,XU Feiran,6/5/2026,
TC-248,photolist 类型字段上传,"1. 打开含 photolist 类型字段的模板
2. 上传多张图片",功能测试,所有图片上传成功，显示预览列表,通过,XU Feiran,6/5/2026,
TC-249,图片存储到 SMB,"1. 上传图片后
2. 检查 SMB 存储",文件存储测试,图片文件存在于 SMB 对应目录,通过,XU Feiran,6/5/2026,
TC-250,预览已上传图片,1. 点击已上传的图片缩略图,功能测试,弹出大图预览,通过,XU Feiran,6/5/2026,
TC-251,精分析报告 photo 字段拍照上传,"1. 打开含 photo 类型字段的精分析报告
2. 点击「拍照」按钮
3. 完成拍照",功能测试,拍照图片自动上传并显示预览,通过,XU Feiran,6/5/2026,
TC-252,精分析报告 photolist 字段拍照上传,"1. 打开含 photolist 类型字段的精分析报告
2. 点击「拍照」按钮
3. 完成多次拍照",功能测试,所有拍照图片自动上传并显示预览列表,通过,XU Feiran,6/5/2026,
TC-253,精分析报告拍照与上传图片共存,"1. 在 photo/photolist 字段先上传一张图片
2. 再拍照一张",功能测试,两种方式添加的图片共存显示,通过,XU Feiran,6/5/2026,
TC-254,精分析报告已审批时禁止上传,"1. 打开已审批通过的精分析报告
2. 查看 photo/photolist 字段",功能测试,上传和拍照按钮不可见或禁用,通过,XU Feiran,6/5/2026,
TC-255,撤回后报告卡片状态标签,"1. 提交精分析报告后撤回
2. 查看退件详情页右侧报告卡片",状态测试,"报告状态标签显示灰色""已撤回""",通过,XU Feiran,6/5/2026,
TC-256,撤回后状态流程步骤条,"1. 提交精分析报告后撤回
2. 查看退件详情页状态流程",状态测试,"精分析步骤显示""进行中""，非 withdrawn 文本",通过,XU Feiran,6/5/2026,
TC-257,撤回后英文环境状态标签,"1. 切换语言为 English
2. 查看已撤回报告卡片",国际化测试,"报告状态标签显示灰色 ""Withdrawn""",通过,XU Feiran,6/5/2026,
TC-258,分析师可暂存报告,"1. 以 part.analyst 对应的用户登录
2. 打开精分析报告弹窗
3. 填写部分内容
4. 点击「暂存」",权限测试,暂存成功，报告状态为草稿,通过,XU Feiran,6/9/2026,
TC-259,分析师可提交报告,"1. 以分析师身份打开报告
2. 填写完整内容
3. 点击「提交审批」",权限测试,提交成功，Part 状态变为 analysis_report_submitted,通过,XU Feiran,6/9/2026,
TC-260,分析师可上传照片,"1. 以分析师身份打开报告
2. 在 photo/photolist 字段上传照片",功能测试,上传/拍照按钮可见，照片上传成功,通过,XU Feiran,6/9/2026,
TC-261,分析师可撤回报告,"1. 以分析师身份提交报告后
2. 点击「撤回」按钮",权限测试,撤回按钮可见，撤回成功,通过,XU Feiran,6/9/2026,
TC-262,非分析师不可暂存,"1. 以非 part.analyst 用户登录
2. 打开精分析报告弹窗
3. 查看底部按钮",权限测试,「暂存」按钮不可见,通过,XU Feiran,6/9/2026,
TC-263,非分析师不可提交,"1. 以非分析师用户打开报告
2. 查看底部按钮",权限测试,「提交审批」按钮不可见,通过,XU Feiran,6/9/2026,
TC-264,非分析师表单只读,"1. 以非分析师用户打开报告
2. 查看所有表单字段",权限测试,所有输入控件禁用（灰色不可编辑），包括匹配条件、责任方、文本框、下拉框、日期、数字、摘要,通过,XU Feiran,6/9/2026,
TC-265,非分析师不可上传照片,"1. 以非分析师用户打开报告
2. 查看 photo/photolist 字段",功能测试,上传/拍照按钮不可见,通过,XU Feiran,6/9/2026,
TC-266,非分析师不可撤回,"1. 以非分析师用户查看已提交报告
2. 查看底部按钮",权限测试,「撤回」按钮不可见,通过,XU Feiran,6/9/2026,
TC-267,非分析师可查看报告,"1. 以非分析师用户打开报告
2. 查看报告内容",权限测试,报告内容完整可见，仅不可编辑,通过,XU Feiran,6/9/2026,
TC-268,非分析师可下载报告,"1. 以非分析师用户打开报告
2. 点击「下载报告」按钮",权限测试,下载按钮可见且可用，可正常下载报告,通过,XU Feiran,6/9/2026,
TC-269,未指定分析师时允许操作,"1. 打开 analyst 为空的退件信息的精分析报告
2. 尝试暂存/提交",权限测试,暂存/提交按钮可见，操作正常（向后兼容）,通过,XU Feiran,6/9/2026,
TC-270,退件详情页报告卡片显示驳回原因,"1. 审批驳回一份精分析报告（填写驳回原因）
2. 进入退件详情页
3. 查看右侧报告信息卡片",功能测试,"状态标签显示红色""已驳回""，下方显示""驳回原因：XXX""，文字为红色",通过,XU Feiran,6/5/2026,
TC-271,精分析报告弹窗显示驳回原因,"1. 审批驳回一份精分析报告
2. 点击「精分析」按钮打开弹窗",功能测试,"弹窗顶部显示红色 Alert 提示框，内容为""驳回原因：XXX""",通过,XU Feiran,6/5/2026,
TC-272,驳回原因无值时不显示,"1. 查看一份已通过的精分析报告
2. 查看退件详情页和报告弹窗",功能测试,"无""驳回原因""字段显示",通过,XU Feiran,6/5/2026,
TC-273,驳回原因 i18n 中英文,"1. 中文环境查看驳回原因标签
2. 切换英文环境查看",国际化测试,"中文显示""驳回原因""，英文显示""Reject Reason""",通过,XU Feiran,6/5/2026,
TC-274,分析单列表-菜单入口,"1. 登录系统
2. 点击左侧菜单「分析单管理」",权限测试,进入分析单列表页，显示退货单号、分析师、状态,通过,XU Feiran,6/9/2026,
TC-275,分析单列表-退货单号跳转,"1. 进入分析单列表
2. 点击某条记录的退货单号链接",功能测试,跳转至对应退货单详情页,通过,XU Feiran,6/9/2026,
TC-276,分析单列表-列排序,1. 分别点击各列表头排序,功能测试,所有列均支持排序，升序/降序切换正常,通过,XU Feiran,6/9/2026,
TC-277,分析单列表-Analyst只看自己,"1. 以 Analyst 角色登录
2. 进入分析单列表",权限测试,仅显示该 Analyst 负责的分析单,通过,XU Feiran,6/9/2026,
TC-278,分析单列表-Leader/Manager看全部,"1. 以 QMC Leader 或 Manager 角色登录
2. 进入分析单列表",权限测试,显示所有分析单,通过,XU Feiran,6/9/2026,
TC-279,分析单详情-3步状态步骤条（合并后）,1. 打开任意分析单详情,状态测试,右侧显示 3 步步骤条：待抽样→精分析→WorkON报废；精分析步骤描述显示子状态（进行中/审批中/已完成）,通过,XU Feiran,6/9/2026,
TC-280,分析单详情-关联退件信息列表,1. 打开分析单详情,功能测试,显示该分析单下的退件信息列表（含抽样状态列），支持搜索/筛选/排序/分页/点击跳转,通过,XU Feiran,6/9/2026,
TC-281,分析单详情-退件信息搜索,"1. 在退件信息列表中输入零件编号
2. 选择业务单元/产品平台/状态
3. 点击查询/重置",功能测试,搜索/重置功能正常,通过,XU Feiran,6/9/2026,
TC-282,分析单详情-退件信息排序,1. 点击退件信息列表表头排序,功能测试,列表按选中字段排序显示,通过,XU Feiran,6/9/2026,
TC-283,分析单详情-退件信息分页,1. 查看退件信息列表底部分页器,功能测试,分页器正常，支持切换页码/每页条数,通过,XU Feiran,6/9/2026,
TC-284,分析单详情-零件编号点击跳转,1. 点击退件信息列表中的零件编号链接,功能测试,跳转至对应退件信息详情页,通过,XU Feiran,6/9/2026,
TC-285,分析单-抽样方式选择,"1. 进入「待抽样」状态的分析单
2. 点击「抽样」按钮",功能测试,弹出抽样管理弹窗，默认选中「开始抽样」方式，可切换为「不抽样」,通过,XU Feiran,6/9/2026,
TC-286,分析单-不抽样,"1. 抽样弹窗中选择「不抽样」
2. 点击「确认不抽样」",状态测试,显示警告提示，确认后分析单状态流转，弹窗关闭,通过,XU Feiran,6/9/2026,
TC-287,分析单-抽样比例联动,1. 抽样弹窗中输入抽样比例（如50%）,状态测试,抽样数自动同步计算；反向输入抽样数时比例也同步更新,通过,XU Feiran,6/9/2026,
TC-288,分析单-随机抽样,"1. 设置抽样数
2. 点击「随机抽样」按钮",功能测试,"穿梭框右侧随机选中对应数量的退件信息，提示""已随机抽取 N 个退件信息""",通过,XU Feiran,6/9/2026,
TC-289,分析单-穿梭框手动抽样,"1. 在穿梭框中手动将退件信息从左侧移到右侧
2. 确认抽样",功能测试,所选件 isSample=1，未选件 isSample=0；分析单状态→「精分析中」,通过,XU Feiran,6/9/2026,
TC-290,分析单-查看抽样结果,"1. 进入已完成抽样的分析单
2. 点击「查看抽样结果」按钮",功能测试,弹出只读抽样弹窗，穿梭框禁用，显示已完成抽样提示,通过,XU Feiran,6/9/2026,
TC-291,分析单-QMC Leader重新抽样,"1. QMC Leader查看抽样结果
2. 点击「重新抽样」按钮",功能测试,切换到可编辑模式，显示重新抽样警告，可修改抽样选择,通过,XU Feiran,6/9/2026,
TC-292,分析单-穿梭框信息显示,1. 打开抽样弹窗,功能测试,穿梭框每行显示零件号、业务单元/产品平台信息；标题显示已选/总数统计,通过,XU Feiran,6/9/2026,
TC-293,分析单-穿梭框详情按钮,"1. 打开抽样弹窗
2. 点击任一退件信息行后的「查看」按钮",权限测试,弹出退件信息详情弹窗，显示编号、零件号、业务单元、产品平台、失效类型、分析师、状态等信息,通过,XU Feiran,6/9/2026,
TC-294,分析单-抽样弹窗按生产日期过滤,"1. 打开抽样弹窗
2. 在生产日期范围选择器中选择日期范围",功能测试,穿梭框左侧仅显示生产日期在范围内的退件信息,通过,XU Feiran,6/9/2026,
TC-295,分析单-抽样弹窗按行驶里程过滤,"1. 打开抽样弹窗
2. 拖动行驶里程滑块选择范围（0-300,000 km）",功能测试,穿梭框左侧仅显示行驶里程在范围内的退件信息,通过,XU Feiran,6/9/2026,
TC-296,分析单-抽样弹窗过滤器清空,"1. 设置生产日期和里程范围过滤
2. 清空过滤条件",功能测试,穿梭框左侧恢复显示全部退件信息,通过,XU Feiran,6/9/2026,
TC-297,分析单-报废操作,"1. 进入非「待抽样/报废中/已报废」状态的分析单
2. 确认所有退件信息满足报废条件（未抽样 或 已抽样且精分析审批完成）
3. 点击「报废」",功能测试,分析单状态→「WorkOn报废中」；报废按钮隐藏,通过,XU Feiran,6/9/2026,
TC-298,分析单-报废校验-不满足条件,"1. 准备分析单下存在已抽样但未完成精分析审批的退件信息
2. 点击「报废」",接口测试,后端返回 400 错误，提示不满足报废条件的退件信息列表,通过,XU Feiran,6/9/2026,
TC-299,分析单-报废校验-全部未抽样,"1. 准备分析单下所有退件信息均为未抽样状态
2. 点击「报废」",功能测试,报废成功，分析单状态→「WorkOn报废中」,通过,XU Feiran,6/9/2026,
TC-300,分析单-报废校验-全部已完成精分析审批,"1. 准备分析单下所有已抽样件均完成精分析审批
2. 点击「报废」",功能测试,报废成功，分析单状态→「WorkOn报废中」,通过,XU Feiran,6/9/2026,
TC-301,分析单-报废联动更新所有 Part 状态,"1. 准备含多个退件信息（含抽样件和未抽样件）的分析单
2. 调用 POST /api/v1/analysis-orders/{id}/scrap",状态测试,分析单下**所有**关联退件信息状态均更新为 `scrap_in_progress`，包括抽样件和未抽样件,通过,XU Feiran,6/9/2026,
TC-302,分析单-WorkOn确认,"1. 进入「WorkOn报废中」状态的分析单
2. 点击「WorkOn确认」",功能测试,分析单状态→「WorkOn已报废」,通过,XU Feiran,6/9/2026,
TC-303,分析单-幂等创建,1. 在同一退货单下为同一 analyst 新建第二个退件信息,功能测试,不新增分析单，仍使用同一条分析单记录,通过,XU Feiran,6/9/2026,
TC-304,退件信息列表-搜索功能,"1. 在退件信息列表中输入关键词（keyword 同时搜索零件编号和零件代码）
2. 选择业务单元下拉
3. 选择产品平台下拉
4. 选择状态下拉
5. 点击查询
6. 点击重置",接口测试,搜索和重置功能正常，触发后端 API 调用（退货单详情页和分析单详情页共用 PartsListCard 组件，均适用）,通过,XU Feiran,6/9/2026,
TC-305,退件信息列表-排序功能,"1. 点击退件信息列表各列表头排序
2. 切换升序/降序",接口测试,列表按选中字段排序显示，触发后端 API 排序请求（退货单详情页和分析单详情页共用 PartsListCard 组件，均适用）,通过,XU Feiran,6/9/2026,
TC-306,退件信息列表-分页功能,"1. 查看退件信息列表底部分页器
2. 切换页码
3. 切换每页条数",接口测试,分页器正常，每次分页操作触发后端 API 调用，显示后端返回的总数（退货单详情页和分析单详情页共用 PartsListCard 组件，均适用）,通过,XU Feiran,6/9/2026,
TC-307,退件信息列表-零件编号点击跳转,1. 点击退件信息列表中已提交退件信息的零件编号链接,功能测试,跳转至对应退件信息详情页（退货单详情页和分析单详情页共用 PartsListCard 组件，均适用）,通过,XU Feiran,6/9/2026,
TC-308,零件编号-未提交显示灰色,1. 查看退件信息列表中未提交（无零件编号）的记录,功能测试,"零件编号列显示""未提交""文字，颜色为灰色，不可点击（退货单详情页和分析单详情页共用 PartsListCard 组件，均适用）",通过,XU Feiran,6/9/2026,
TC-309,零件编号-已提交可点击,"1. 查看退件信息列表中已提交（有零件编号）的记录
2. 点击零件编号",功能测试,零件编号显示为蓝色链接样式，点击跳转至退件信息详情页（退货单详情页和分析单详情页共用 PartsListCard 组件，均适用）,通过,XU Feiran,6/9/2026,
