测试用例编号,测试标题,测试步骤,测试类别,建议测试的角色,预期结果,实际结果,执行人,执行日期,备注
TC-163,非 0km 退件暂存后状态为「信息录入/进行中」,"1. 在非 0km（BA40）退货单下新建退件并暂存
2. 查看退件状态",退件信息管理,分析员,退件初始状态为「信息录入/进行中」,,,,
TC-164,0km 退件可正常报废,"1. 找到「精分析/已跳过」状态的 0km 退件
2. 进入其分析单
3. 执行报废操作",退件信息管理,分析员,报废流程正常完成，无权限或状态错误,,,,
TC-165,0km 退件提交后责任工程师收到 0km 通知邮件,"1. 在 0km（BA20 等）退货单下新建退件并「提交」
2. 查看责任工程师邮箱
3. 在非 0km（BA40）退货单下新建并提交退件
4. 查看邮箱",退件信息管理,分析员 / 客户质量工程师,0km 类型：提交时责任工程师收到 0km 通知邮件（暂存阶段不发）；非 0km 类型：不发送,,,,
TC-166,同一退货单内零件编号不可重复,"1. 在同一退货单下新建两条退件
2. 使用相同的零件编号
3. 提交",退件信息管理,分析员,系统报错，提示零件编号重复,,,,
TC-167,不同退货单间零件编号可重复,1. 在不同退货单下创建相同零件编号的退件,退件信息管理,分析员,创建成功，无报错,,,,
TC-168,退件号格式含分隔符,"1. 提交退件信息
2. 查看生成的编号",退件信息管理,分析员,编号格式为「业务单元-产品平台-序号」（含横杠分隔符）,,,,
TC-169,新建时分别填写修复站点与投诉地点,"1. 新建退件信息
2. 分别填写「修复站点」和「投诉地点」
3. 保存",退件信息管理,分析员,两个字段各自独立保存,,,,
TC-170,编辑时分别修改修复站点与投诉地点,"1. 编辑退件信息
2. 只修改「修复站点」
3. 保存",退件信息管理,分析员,修复站点更新，投诉地点保持不变,,,,
TC-171,详情页分别展示修复站点与投诉地点,1. 查看退件信息详情,退件信息管理,分析员,两个字段分别显示；为空时显示「-」,,,,
TC-172,移动端拍照调起相机,"1. 在移动端浏览器打开新建/编辑退件
2. 点击拍照按钮",退件信息管理,分析员,直接调起后置相机,,,,
TC-173,PC 端拍照弹出文件选择器,1. 在 PC 端浏览器点击拍照按钮,退件信息管理,分析员,弹出文件选择器，仅支持 jpg/png,,,,
TC-174,拍照后显示预览,1. 完成拍照,退件信息管理,分析员,显示图片缩略图预览,,,,
TC-175,拍照与上传图片共存,"1. 先上传一张图片
2. 再拍一张照",退件信息管理,分析员,两种方式添加的图片共存显示,,,,
TC-176,导出全部退件信息,"1. 不设置筛选条件
2. 点击「导出」",退件信息管理,客户质量工程师,导出所有售后件数据,,,,
TC-177,导出筛选后的退件信息,"1. 设置筛选条件并查询
2. 点击「导出」",退件信息管理,客户质量工程师,仅导出筛选后的数据,,,,
TC-178,退件导出文件可正常打开,1. 打开导出的 Excel 文件,退件信息管理,客户质量工程师,文件格式正确，数据完整,,,,
TC-179,退件导出文件名包含日期,"1. 执行导出
2. 查看文件名",退件信息管理,客户质量工程师,文件名包含日期，格式为 售后件明细_YYYYMMDD.xlsx,,,,
TC-180,按生产日期范围过滤导出,"1. 设置生产日期范围筛选
2. 点击「导出」",退件信息管理,客户质量工程师,仅导出生产日期在范围内的退件信息,,,,
TC-181,按行驶里程范围过滤导出,"1. 在公里数范围设下限和上限
2. 点击「导出」",退件信息管理,客户质量工程师,仅导出行驶里程在该范围内的退件信息,,,,
TC-182,业务单元必填校验,"1. 新建退件信息
2. 选择一个未配置业务单元的零件码
3. 不填业务单元
4. 点击暂存/提交",退件信息管理,分析员,表单校验失败，业务单元字段提示「请选择业务单元」,,,,
TC-183,产品平台必填校验,"1. 新建退件信息
2. 选择一个未配置产品平台的零件码
3. 不填产品平台
4. 点击暂存/提交",退件信息管理,分析员,表单校验失败，产品平台字段提示「请选择产品平台」,,,,
TC-184,业务单元与产品平台自动填充后提交,"1. 新建退件信息
2. 选择一个已配置业务单元和产品平台的零件码
3. 两个自动填充
4. 填写其他必填项
5. 提交",退件信息管理,分析员,提交成功，无校验错误,,,,
TC-185,编辑退件保持业务单元与产品平台必填,"1. 编辑一条已有退件（业务单元和产品平台已填）
2. 不修改这两个字段
3. 保存",退件信息管理,分析员,保存成功，无校验错误,,,,
TC-186,选择报告模板自动加载字段,"1. 进入精分析表单
2. 选择一个报告模板",精分析报告,分析员,自动加载该模板对应的表单字段,,,,
TC-187,不同模板表单字段动态变化,"1. 选择不同模板
2. 查看表单字段",精分析报告,分析员,表单字段随模板动态变化,,,,
TC-188,精分析必填字段校验,"1. 不填写必填字段
2. 点击提交",精分析报告,分析员,表单校验失败，提示必填项,,,,
TC-189,精分析报告暂存为草稿,"1. 填写部分报告内容
2. 点击「暂存」",精分析报告,分析员,草稿保存成功，报告状态为「草稿」,,,,
TC-190,编辑精分析草稿,"1. 打开草稿报告
2. 修改内容
3. 暂存",精分析报告,分析员,修改被保存,,,,
TC-191,多次暂存精分析报告,"1. 暂存后继续编辑
2. 再次暂存",精分析报告,分析员,每次暂存都成功,,,,
TC-192,提交精分析报告,"1. 填写完整报告
2. 点击「提交审批」",精分析报告,分析员,报告状态变为「已提交」，退件进入「精分析报告已提交」,,,,
TC-193,提交后报告只读并显示撤回按钮,"1. 提交精分析报告后
2. 打开精分析报告弹窗",精分析报告,分析员,报告为只读，不显示暂存和提交按钮，显示「撤回」按钮,,,,
TC-194,驳回后可重新提交报告,"1. 审批被驳回后
2. 修改报告
3. 重新提交",精分析报告,分析员,可以重新提交,,,,
TC-195,撤回已提交的精分析报告,"1. 提交精分析报告后
2. 点击「撤回」
3. 确认",精分析报告,分析员,报告状态变为「已撤回」，退件回退到「精分析/进行中」,,,,
TC-196,非提交者不可撤回报告,"1. 以非报告提交者身份查看已提交报告
2. 查看撤回按钮",精分析报告,分析员,撤回按钮不可见或禁用,,,,
TC-197,导出精分析报告为 Word,"1. 进入退件信息详情
2. 点击「导出报告」
3. 下载",精分析报告,分析员,成功下载 .docx 文件,,,,
TC-198,导出的 Word 内容完整,1. 打开导出的 Word 文件,精分析报告,分析员,内容完整，格式正确,,,,
TC-199,上传 Excel 报告模板,"1. 进入设置-模板管理
2. 选择 .xlsx 文件
3. 填写模板信息
4. 上传",精分析报告,系统管理员,模板上传成功,,,,
TC-200,上传超大模板文件被拒,1. 上传超大文件,精分析报告,系统管理员,提示文件过大,,,,待测试
TC-201,上传非 Office 模板文件被拒,1. 上传非 Office 文件,精分析报告,系统管理员,提示文件类型不支持,,,,待测试
TC-202,下载报告模板,"1. 进入设置-模板管理
2. 点击模板的「下载」按钮",精分析报告,系统管理员,下载原上传的模板文件,,,,
TC-203,下载的模板文件完整,1. 打开下载的模板文件,精分析报告,系统管理员,文件内容与上传时一致,,,,
TC-204,删除报告模板,"1. 进入设置-模板管理
2. 点击模板的「删除」按钮
3. 确认",精分析报告,系统管理员,模板删除成功,,,,
TC-205,删除模板后列表更新,"1. 删除模板
2. 查看模板列表",精分析报告,系统管理员,列表中不再显示已删除的模板,,,,
TC-206,模板精确匹配（产品平台+失效类型）,"1. 上传模板：产品平台=WSA、失效类型=噪音
2. 创建匹配条件的退件
3. 打开精分析报告弹窗",精分析报告,分析员,自动匹配到该模板（优先级最高）,,,,
TC-207,模板仅产品平台匹配,"1. 上传模板：产品平台=WSA、失效类型=空
2. 创建产品平台=WSA 的退件
3. 打开精分析报告弹窗",精分析报告,分析员,自动匹配到该模板,,,,
TC-208,默认模板匹配,"1. 上传模板：产品平台=空、失效类型=空
2. 打开无精确匹配的精分析报告弹窗",精分析报告,分析员,自动匹配到默认模板,,,,
TC-209,多个匹配模板时可手动选择,"1. 上传多个相同条件的模板
2. 打开精分析报告弹窗",精分析报告,分析员,显示模板选择下拉框，可手动选择,,,,
TC-210,切换产品平台模板列表实时更新,"1. 打开精分析报告弹窗
2. 修改匹配条件中的产品平台",精分析报告,分析员,模板列表自动更新,,,,
TC-211,切换失效类型模板列表实时更新,"1. 打开精分析报告弹窗
2. 修改匹配条件中的失效类型",精分析报告,分析员,模板列表自动更新,,,,
TC-212,无匹配模板时提示,"1. 创建一个无匹配模板的退件
2. 打开精分析报告弹窗",精分析报告,分析员,显示「未找到匹配的模板」提示,,,,
TC-213,精分析 photo 字段上传单张图片,"1. 打开含 photo 类型字段的精分析报告
2. 上传一张图片",精分析报告,分析员,图片上传成功，显示预览,,,,
TC-214,精分析 photolist 字段上传多张图片,"1. 打开含 photolist 类型字段的精分析报告
2. 上传多张图片",精分析报告,分析员,所有图片上传成功，显示预览列表,,,,
TC-215,精分析报告预览已上传图片,1. 点击已上传的图片缩略图,精分析报告,分析员,弹出大图预览,,,,
TC-216,精分析报告 photo 字段拍照上传,"1. 打开含 photo 字段的精分析报告
2. 点击「拍照」
3. 完成拍照",精分析报告,分析员,拍照图片自动上传并显示预览,,,,
TC-217,精分析报告拍照与上传图片共存,"1. 在 photo/photolist 字段先上传一张图片
2. 再拍照一张",精分析报告,分析员,两种方式添加的图片共存显示,,,,
TC-218,精分析报告已审批时禁止上传图片,"1. 打开已审批通过的精分析报告
2. 查看 photo/photolist 字段",精分析报告,分析员,上传和拍照按钮不可见或禁用,,,,
TC-219,撤回后报告卡片显示「已撤回」,"1. 提交精分析报告后撤回
2. 查看退件详情页右侧报告卡片",精分析报告,分析员,报告状态标签显示灰色「已撤回」,,,,
TC-220,撤回后状态步骤条显示「进行中」,"1. 提交精分析报告后撤回
2. 查看退件详情页状态流程",精分析报告,分析员,精分析步骤显示「进行中」,,,,
TC-221,撤回后英文环境标签显示 Withdrawn,"1. 切换语言为 English
2. 查看已撤回报告卡片",精分析报告,分析员,报告状态标签显示灰色「Withdrawn」,,,,
TC-222,分析师可暂存报告,"1. 以退件指定的分析师登录
2. 打开精分析报告弹窗
3. 填写部分内容
4. 点击「暂存」",精分析报告,分析员,暂存成功，报告状态为草稿,,,,
TC-223,分析师可提交报告,"1. 以分析师身份打开报告
2. 填写完整内容
3. 点击「提交审批」",精分析报告,分析员,提交成功，退件进入「精分析报告已提交」,,,,
TC-224,分析师可上传报告照片,"1. 以分析师身份打开报告
2. 在 photo/photolist 字段上传照片",精分析报告,分析员,上传/拍照按钮可见，照片上传成功,,,,
TC-225,分析师可撤回报告,"1. 以分析师身份提交报告后
2. 点击「撤回」",精分析报告,分析员,撤回按钮可见，撤回成功,,,,
TC-226,非分析师不可暂存报告,"1. 以非该退件分析师的用户登录
2. 打开精分析报告弹窗
3. 查看底部按钮",精分析报告,客户质量工程师,看不到「暂存」按钮,,,,
TC-227,非分析师不可提交报告,"1. 以非分析师用户打开报告
2. 查看底部按钮",精分析报告,客户质量工程师,看不到「提交审批」按钮,,,,
TC-228,非分析师报告表单只读,"1. 以非分析师用户打开报告
2. 查看所有表单字段",精分析报告,客户质量工程师,所有输入控件置灰不可编辑,,,,
TC-229,非分析师不可上传报告照片,"1. 以非分析师用户打开报告
2. 查看 photo/photolist 字段",精分析报告,客户质量工程师,上传/拍照按钮不可见,,,,
TC-230,非分析师可查看报告内容,"1. 以非分析师用户打开报告
2. 查看报告内容",精分析报告,客户质量工程师,报告内容完整可见，仅不可编辑,,,,
TC-231,非分析师可下载报告,"1. 以非分析师用户打开报告
2. 点击「下载报告」",精分析报告,客户质量工程师,下载按钮可见且可用，可正常下载,,,,
TC-232,未指定分析师时允许操作报告,"1. 打开分析师为空的退件的精分析报告
2. 尝试暂存/提交",精分析报告,分析员,暂存/提交按钮可见，操作正常,,,,向后兼容
TC-233,退件详情报告卡片显示驳回原因,"1. 审批驳回一份精分析报告（填写驳回原因）
2. 进入退件详情页
3. 查看右侧报告信息卡片",精分析报告,分析员 / 分析主管,状态标签显示红色「已驳回」，下方红色显示「驳回原因：XXX」,,,,
TC-234,精分析报告弹窗显示驳回原因,"1. 审批驳回一份精分析报告
2. 点击「精分析」按钮打开弹窗",精分析报告,分析员 / 分析主管,弹窗顶部显示红色提示框，内容为「驳回原因：XXX」,,,,
TC-235,驳回原因无值时不显示,"1. 查看一份已通过的精分析报告
2. 查看退件详情和报告弹窗",精分析报告,分析员 / 分析主管,不显示「驳回原因」字段,,,,
TC-236,驳回原因中英文显示,"1. 中文环境查看驳回原因标签
2. 切换英文环境查看",精分析报告,分析员 / 分析主管,中文显示「驳回原因」，英文显示「Reject Reason」,,,,
TC-237,进入分析单列表,"1. 登录系统
2. 点击左侧菜单「分析单管理」",分析单与抽样,分析员,进入分析单列表页，显示退货单号、分析师、状态,,,,
TC-238,分析单列表点击退货单号跳转,"1. 进入分析单列表
2. 点击某条记录的退货单号链接",分析单与抽样,分析员,跳转至对应退货单详情页,,,,
TC-239,分析单列表支持列排序,1. 分别点击各列表头排序,分析单与抽样,分析员,所有列均支持排序，升序/降序切换正常,,,,
TC-240,Analyst 仅看到自己负责的分析单,"1. 以 Analyst 角色登录
2. 进入分析单列表",分析单与抽样,分析员,仅显示该 Analyst 负责的分析单,,,,
TC-241,QMC Leader/Manager 可看全部分析单,"1. 以 QMC Leader 或 Manager 角色登录
2. 进入分析单列表",分析单与抽样,分析主管 / QMC 经理,显示所有分析单,,,,
TC-242,分析单详情显示 3 步状态步骤条,1. 打开任意分析单详情,分析单与抽样,分析员,右侧显示 3 步步骤条（待抽样→精分析→WorkON 报废），精分析步骤显示子状态,,,,
TC-243,分析单详情显示关联退件列表,1. 打开分析单详情,分析单与抽样,分析员,显示该分析单下的退件信息列表（含抽样状态列）,,,,
TC-244,分析单详情退件列表支持搜索/排序/分页,1. 在分析单详情的退件列表中输入关键词、点击列头排序、切换分页,分析单与抽样,分析员,搜索、排序、分页功能均正常,,,,
TC-245,分析单详情点击零件编号跳转,1. 点击退件列表中的零件编号链接,分析单与抽样,分析员,跳转至对应退件信息详情页,,,,
TC-246,退件列表未提交编号灰色不可点击,1. 查看退件列表中未提交（无零件编号）的记录,分析单与抽样,分析员,零件编号列显示灰色「未提交」，不可点击,,,,
TC-247,退件列表已提交编号蓝色可点击,"1. 查看退件列表中已提交（有零件编号）的记录
2. 点击零件编号",分析单与抽样,分析员,零件编号显示为蓝色链接，点击跳转至退件详情,,,,
TC-248,待抽样分析单打开抽样弹窗,"1. 进入「待抽样」状态的分析单
2. 点击「抽样」按钮",分析单与抽样,分析员,弹出抽样管理弹窗，默认选中「开始抽样」，可切换为「不抽样」,,,,
TC-249,选择「不抽样」,"1. 抽样弹窗中选择「不抽样」
2. 点击「确认不抽样」",分析单与抽样,分析员,显示警告提示，确认后分析单状态流转，弹窗关闭,,,,
TC-250,抽样比例与抽样数联动,1. 抽样弹窗中输入抽样比例（如 50%）,分析单与抽样,分析员,抽样数自动计算；反向输入抽样数时比例也同步更新,,,,
TC-251,随机抽样,"1. 设置抽样数
2. 点击「随机抽样」",分析单与抽样,分析员,穿梭框右侧随机选中对应数量的退件，提示「已随机抽取 N 个退件信息」,,,,
TC-252,穿梭框手动抽样,"1. 在穿梭框中手动将退件从左侧移到右侧
2. 确认抽样",分析单与抽样,分析员,所选件标记为已抽样，分析单进入「精分析中」,,,,
TC-253,查看抽样结果,"1. 进入已完成抽样的分析单
2. 点击「查看抽样结果」",分析单与抽样,分析员,弹出只读抽样弹窗，穿梭框禁用，显示已完成抽样提示,,,,
TC-254,QMC Leader 重新抽样,"1. 以 QMC Leader 查看抽样结果
2. 点击「重新抽样」",分析单与抽样,分析主管,切换到可编辑模式，显示重新抽样警告，可修改抽样选择,,,,
TC-255,穿梭框显示零件与业务信息,1. 打开抽样弹窗,分析单与抽样,分析员,穿梭框每行显示零件号、业务单元/产品平台；标题显示已选/总数统计,,,,
TC-256,穿梭框查看退件详情,"1. 打开抽样弹窗
2. 点击某退件行后的「查看」按钮",分析单与抽样,分析员,弹出退件信息详情弹窗，显示编号、零件号、业务单元等信息,,,,
TC-257,抽样弹窗按生产日期过滤,"1. 打开抽样弹窗
2. 在生产日期范围选择器中选择日期范围",分析单与抽样,分析员,穿梭框左侧仅显示生产日期在范围内的退件,,,,
TC-258,抽样弹窗按行驶里程过滤,"1. 打开抽样弹窗
2. 拖动行驶里程滑块选择范围",分析单与抽样,分析员,穿梭框左侧仅显示行驶里程在范围内的退件,,,,
TC-259,抽样弹窗清空过滤条件,"1. 设置生产日期和里程范围过滤
2. 清空过滤条件",分析单与抽样,分析员,穿梭框左侧恢复显示全部退件,,,,
TC-260,执行分析单报废,"1. 进入非「待抽样/报废中/已报废」状态的分析单
2. 确认退件满足报废条件
3. 点击「报废」",分析单与抽样,分析员,分析单进入「WorkOn 报废中」，报废按钮隐藏,,,,
TC-261,不满足报废条件时报废被拒,"1. 分析单下存在「已抽样但未完成精分析审批」的退件
2. 点击「报废」",分析单与抽样,分析员,提示不满足报废条件的退件列表，报废被拒,,,,
TC-262,全部未抽样时报废成功,"1. 分析单下所有退件均为未抽样
2. 点击「报废」",分析单与抽样,分析员,报废成功，分析单进入「WorkOn 报废中」,,,,
TC-263,全部已完成精分析审批时报废成功,"1. 分析单下所有已抽样件均完成精分析审批
2. 点击「报废」",分析单与抽样,分析员,报废成功，分析单进入「WorkOn 报废中」,,,,
TC-264,报废后所有退件进入「报废中」,"1. 含抽样件和未抽样件的分析单执行报废
2. 查看该分析单下各退件状态",分析单与抽样,分析员,所有关联退件（含未抽样件）状态均变为「报废中」,,,,
TC-265,WorkOn 确认完成报废,"1. 进入「WorkOn 报废中」状态的分析单
2. 点击「WorkOn 确认」",分析单与抽样,分析员,分析单进入「WorkOn 已报废」,,,,
TC-266,WorkOn 确认需填写报废单号,"1. 进入报废处理弹窗
2. 选择「已 WorkON 报废」
3. 不输入报废单号直接提交",分析单与抽样,分析员,提示「请输入 WorkON 报废单号」，不发送请求,,,,
TC-267,WorkOn 已报废后只读展示报废单号,"1. 进入已报废的分析单
2. 打开报废处理弹窗",分析单与抽样,分析员,弹窗中只读展示 WorkON 报废单号,,,,
TC-268,同一退货单同一分析师复用同一条分析单,"1. 在同一退货单下为同一分析师新增第二个退件
2. 查看分析单列表",分析单与抽样,分析员,不新增分析单，仍归到原有的同一条分析单,,,,
TC-269,所有抽样件报告提交后分析单进入审批,"1. 分析单下所有抽样件均已提交报告
2. 提交最后一件报告",分析单与抽样,分析员 / 分析主管,分析单状态自动变为「审批中」,,,,
TC-270,所有抽样件报告通过后分析单变为已完成,"1. 分析单下所有抽样件均处于待审批
2. 审批通过最后一件",分析单与抽样,分析员 / 分析主管,分析单状态自动变为「精分析/已完成」,,,,
TC-271,仍有抽样件未提交/未通过时分析单状态不变,"1. 分析单下仍有抽样件处于精分析进行中或待审批
2. 提交/通过其中一件",分析单与抽样,分析员 / 分析主管,分析单状态保持不变,,,,
TC-272,报告驳回后退件与分析单回退,"1. 分析单处于「审批中」
2. 驳回其中一件报告",分析单与抽样,分析员 / 分析主管,该退件回到「精分析/进行中」，分析单回到「精分析中」,,,,
TC-273,分析单列表搜索触发查询,"1. 进入分析单列表
2. 输入搜索关键词
3. 点击搜索",分析单与抽样,分析员,触发查询，返回匹配结果,,,,
TC-274,已结束录入退货单下的分析单正常显示,1. 进入已结束录入退货单对应的分析单列表,分析单与抽样,分析员,正确显示该退货单下的分析单,,,,
TC-275,0km 退货单分析单显示 0km 标签,1. 打开 0km 投诉类型退货单的分析单详情,分析单与抽样,分析员,显示 0km 标签/标识,,,,
TC-276,非 BA40 投诉类型不允许抽样,"1. 进入投诉类型非 BA40 的分析单
2. 尝试抽样",分析单与抽样,分析员,不允许抽样（非 BA40 投诉类型跳过抽样）,,,,
TC-277,查看我的申请列表,"1. 进入审批页面
2. 切换到「我的申请」标签页",审批流程,分析员,显示当前用户提交的申请,,,,
TC-278,申请状态颜色标识,1. 查看申请列表,审批流程,分析员,状态标签颜色正确（待审批=橙色，已通过=绿色，已驳回=红色）,,,,
TC-279,查看申请详情,1. 点击某条申请,审批流程,分析员,显示申请详细信息,,,,
TC-280,查看我的审批列表,"1. 以 QMC Leader 进入审批页面
2. 切换到「我的审批」标签页",审批流程,分析主管 / 系统管理员,显示待审批和已审批（通过/驳回）的申请记录,,,,
TC-281,审批列表空状态提示,1. 无审批记录时查看「我的审批」,审批流程,分析主管 / 系统管理员,显示「暂无审批记录」提示,,,,
TC-282,按状态筛选审批记录,"1. 在「我的审批」标签页
2. 使用状态下拉筛选（全部/待审批/已通过/已驳回）",审批流程,分析主管 / 系统管理员,仅显示对应状态的审批记录,,,,
TC-283,已审批记录包含本用户审批的,"1. 当前 QMC Leader 已审批通过某报告
2. 查看「我的审批」列表",审批流程,分析主管 / 系统管理员,该报告在「已通过」筛选下可见,,,,
TC-284,审批列表图片字段以图片渲染,1. 在「我的审批」中查看含图片字段的报告,审批流程,分析主管 / 系统管理员,图片字段以图片预览形式渲染，非纯文本,,,,
TC-285,审批通过,"1. 在「我的审批」列表点击某条申请
2. 查看详情
3. 点击「审批通过」",审批流程,分析主管 / 系统管理员,申请状态变为「已通过」，退件变为「精分析完成」,,,,
TC-286,通过后申请在「已通过」可见,"1. 审批通过
2. 查看「我的审批」列表",审批流程,分析主管 / 系统管理员,该申请状态更新为「已通过」，在「已通过」筛选下可见,,,,
TC-287,审批驳回,"1. 在「我的审批」列表点击某条申请
2. 查看详情
3. 点击「审批驳回」
4. 输入驳回原因",审批流程,分析主管,申请状态变为「已驳回」，可重新编辑提交,,,,
TC-288,驳回后可编辑重新提交,"1. 审批驳回后
2. 进入精分析表单",审批流程,分析员,可以编辑并重新提交,,,,
TC-289,仪表盘统计卡片显示,"1. 进入仪表盘页面
2. 查看统计卡片",工作台与报表,客户质量工程师,显示退货单总量、退件信息总量、任务待处理、分析完成率,,,,
TC-290,点击统计卡片跳转,1. 点击各统计卡片,工作台与报表,客户质量工程师,跳转到对应列表页面,,,,
TC-291,待办任务卡片不可点击,1. 尝试点击「待办任务」统计卡片,工作台与报表,客户质量工程师,卡片无点击响应，光标无手型样式,,,,
TC-292,统计卡片数值颜色与图标,1. 查看各统计卡片,工作台与报表,客户质量工程师,总退货单蓝色、总退件信息绿色、待办任务橙色、完成率紫色；各卡片前缀图标正确,,,,
TC-293,任务中心显示待办任务,"1. 进入仪表盘页面
2. 查看任务中心",工作台与报表,客户质量工程师,显示所有待处理任务,,,,
TC-294,任务优先级颜色标识,1. 查看任务列表,工作台与报表,客户质量工程师,紧急任务红色、高优先级橙色、中优先级蓝色、低优先级灰色,,,,
TC-295,点击任务跳转并应用筛选,"1. 点击某个任务
2. 查看跳转结果",工作台与报表,客户质量工程师,跳转到对应页面并自动应用筛选条件,,,,
TC-296,任务中心无任务时提示,1. 数据库无待办任务时刷新仪表盘,工作台与报表,客户质量工程师,任务中心列表为空或显示「暂无任务」,,,,
TC-297,趋势图表显示,"1. 进入仪表盘/报表页面
2. 查看趋势图",工作台与报表,客户质量工程师,正确显示折线图（退货单、退件信息双系列）,,,,
TC-298,趋势图时间范围切换,"1. 切换时间范围（日/周/月/年）
2. 查看图表变化",工作台与报表,客户质量工程师,图表数据相应更新，X 轴显示月-日,,,,
TC-299,趋势图鼠标悬停显示数值,1. 鼠标悬停在图表数据点上,工作台与报表,客户质量工程师,显示该日期退货单和退件信息的具体数量,,,,
TC-300,点击「待初分析」任务跳转退货单列表,"1. 进入仪表盘
2. 点击「待初分析」任务",工作台与报表,客户质量工程师,跳转退货单列表，并提示已应用任务筛选,,,,
TC-301,点击「待精分析」任务跳转退件列表,"1. 进入仪表盘
2. 点击「待精分析」任务",工作台与报表,客户质量工程师,跳转退件信息列表，并自动应用筛选,,,,
TC-302,点击「精分析预警」任务跳转,"1. 进入仪表盘
2. 点击「精分析预警」任务",工作台与报表,客户质量工程师,跳转退件信息列表，并自动应用预警筛选,,,,
TC-303,点击「精分析超期」任务跳转,"1. 进入仪表盘
2. 点击「精分析超期」任务",工作台与报表,客户质量工程师,跳转退件信息列表，并自动应用超期筛选,,,,
TC-304,点击「精分析报告待审批」任务跳转审批页,"1. 进入仪表盘
2. 点击「精分析报告待审批」任务",工作台与报表,客户质量工程师,跳转审批页并自动切换到待审批标签页,,,,
TC-305,点击「报废审批确认」任务跳转分析单,"1. 进入仪表盘
2. 点击「报废审批确认」任务",工作台与报表,客户质量工程师,跳转分析单列表，并自动应用筛选,,,,
TC-306,帮助手册 FAQ 链接可用,"1. 进入仪表盘
2. 点击「帮助手册 FAQ」",工作台与报表,客户质量工程师,跳转 /help 页面，展示可访问帮助链接列表,,,,待测试
TC-307,IQIS/SAP 未配置时提示,"1. 未配置 IQIS/SAP 链接
2. 点击对应快捷入口",工作台与报表,客户质量工程师,提示「链接未配置，请联系管理员补充地址」,,,,
TC-308,快捷登记退货单,"1. 进入仪表盘
2. 点击「快捷登记退货单」",工作台与报表,客户质量工程师,跳转新建退货单页面,,,,
TC-309,快捷新建退件信息,"1. 进入仪表盘
2. 点击「新建退件信息」",工作台与报表,客户质量工程师,跳转新建退件信息页面,,,,
TC-310,快捷进入数据统计,"1. 进入仪表盘
2. 点击「数据统计」",工作台与报表,客户质量工程师,跳转统计报表页面,,,,
TC-311,WorkON 报废快捷入口,"1. 进入仪表盘
2. 点击「WorkON 报废」",工作台与报表,客户质量工程师,在新标签页打开 WorkON 报工单页面,,,,
TC-312,Lessons Learned 快捷入口,"1. 进入仪表盘
2. 点击「Lessons Learned」",工作台与报表,客户质量工程师,在新标签页打开 LL 系统,,,,
TC-313,外部链接在新标签页打开,"1. 点击 WorkON 或 LL 快捷入口
2. 检查浏览器行为",工作台与报表,客户质量工程师,链接在新标签页打开，原页面保持不变,,,,
TC-314,Analyst 仅看到自己相关统计,"1. 以 Analyst 角色登录
2. 查看仪表盘统计卡片",工作台与报表,分析员,统计数据仅包含该 Analyst 负责的退件/分析单,,,,
TC-315,Analyst 任务中心仅看自己任务,"1. 以 Analyst 角色登录
2. 查看任务中心",工作台与报表,分析员,仅显示该 Analyst 负责的待办任务,,,,
TC-316,QMC Leader/Manager 看全部统计与任务,"1. 以 QMC Leader 或 Manager 角色登录
2. 查看仪表盘",工作台与报表,分析主管 / QMC 经理,统计和任务显示全部数据,,,,
TC-317,仪表盘响应式布局,"1. 将浏览器窗口调整为手机宽度（<768px）
2. 查看仪表盘布局",工作台与报表,客户质量工程师,统计卡片单列、快捷入口两列、图表与任务中心上下排列,,,,
TC-318,仪表盘各模块加载状态,1. 限速网络下打开仪表盘,工作台与报表,客户质量工程师,统计卡片、趋势图、任务中心分别显示 loading，数据返回后正常展示,,,,
TC-319,后端响应慢时仪表盘降级,"1. 模拟后端接口响应超过 3 秒
2. 查看仪表盘",工作台与报表,客户质量工程师,统计卡片显示默认值、任务中心显示空列表，不阻塞页面,,,,
TC-320,新增客户,"1. 进入设置-客户管理
2. 点击新增客户
3. 填写客户名称和代码
4. 保存",系统设置,系统管理员,客户创建成功,,,,
TC-321,编辑客户,"1. 点击某客户的编辑按钮
2. 修改信息
3. 保存",系统设置,系统管理员,客户信息更新成功,,,,
TC-322,删除客户,"1. 点击某客户的删除按钮
2. 确认删除",系统设置,系统管理员,客户删除成功,,,,
TC-323,客户代码唯一性,"1. 新增客户
2. 使用已存在的客户代码",系统设置,系统管理员,提示客户代码已存在,,,,
TC-324,责任工程师下拉显示用户列表,"1. 打开新建退件信息表单
2. 查看「责任工程师」下拉框",系统设置,分析员,下拉框显示所有用户选项,,,,待测试
TC-325,加载已有邮件服务器配置,"1. 进入设置-邮件服务器
2. 查看配置表单",系统设置,系统管理员,显示已保存的邮件配置（如存在）,,,,
TC-326,无邮件配置时的初始状态,"1. 数据库无邮件配置
2. 进入设置-邮件服务器",系统设置,系统管理员,表单显示默认值（端口 25，SSL 关闭）,,,,
TC-327,保存新邮件配置,"1. 填写 SMTP 服务器、端口 25、发件邮箱、密码
2. 点击保存配置",系统设置,系统管理员,保存成功，提示「配置保存成功」,,,,
TC-328,邮件配置必填项校验,"1. 不填 SMTP 服务器/发件邮箱/邮箱密码
2. 点击保存",系统设置,系统管理员,表单校验失败，提示必填项,,,,
